"id","boro_ct2000","median_hh_income"
826,"1000100","0"
1800,"1000201","21019"
1586,"1000202","22750"
1680,"1000500","0"
1125,"1000600","19002"
1556,"1000700","81071"
1194,"1000800","25148"
1019,"1000900","105456"
1552,"1001001","41932"
1553,"1001002","14519"
966,"1001200","25865"
1729,"1001300","81609"
1801,"1001401","39239"
916,"1001402","18984"
1853,"1001501","40158"
716,"1001502","74531"
680,"1001600","23619"
1481,"1001800","25747"
1891,"1002000","11963"
1704,"1002100","128384"
1389,"1002201","25700"
1390,"1002202","32425"
1754,"1002400","16396"
1195,"1002500","13611"
1892,"1002601","28060"
1915,"1002602","33100"
1847,"1002700","28438"
1721,"1002800","27976"
1854,"1002900","20344"
677,"1003001","34826"
1896,"1003002","34450"
1378,"1003100","67361"
1899,"1003200","36759"
1929,"1003300","113332"
1821,"1003400","37371"
1718,"1003601","19271"
1897,"1003602","45000"
1765,"1003800","40886"
1930,"1003900","47083"
1982,"1004000","51413"
1466,"1004100","20950"
1984,"1004200","63258"
1719,"1004300","45409"
1705,"1004401","66154"
2133,"1004402","63519"
1844,"1004500","65662"
2094,"1004700","57167"
1983,"1004800","62229"
2095,"1004900","63275"
1849,"1005000","71734"
2032,"1005100","85483"
1949,"1005200","82882"
1986,"1005300","67917"
1950,"1005400","81696"
782,"1005501","77877"
1848,"1005502","83497"
2215,"1005600","85399"
1779,"1005700","97765"
2216,"1005800","68523"
1720,"1005900","72480"
1743,"1006000","76573"
1985,"1006100","86597"
1749,"1006200","52656"
1778,"1006300","77355"
1736,"1006400","63678"
851,"1006500","56625"
1776,"1006600","44914"
1995,"1006700","57567"
1888,"1006800","52442"
1987,"1006900","128295"
930,"1007000","67850"
1996,"1007100","75502"
974,"1007200","75097"
1997,"1007300","58202"
975,"1007400","76804"
2125,"1007500","72418"
1711,"1007600","41276"
1988,"1007700","68133"
2092,"1007800","70174"
1732,"1007900","67112"
2093,"1008000","68868"
1926,"1008100","61525"
1057,"1008200","62136"
1459,"1008300","28700"
1209,"1008400","70694"
901,"1008600","110330"
1947,"1008700","56939"
897,"1008800","61358"
1396,"1008900","55198"
898,"1009000","80953"
1948,"1009100","58381"
822,"1009200","62375"
1397,"1009300","51710"
1499,"1009400","15947"
1712,"1009500","60993"
1500,"1009600","60083"
2080,"1009700","32350"
1,"1009800","67482"
1907,"1009900","60476"
2,"1010000","73906"
1713,"1010100","66786"
12,"1010200","174119"
2081,"1010300","61007"
13,"1010400","67500"
14,"1010601","102149"
1008,"1010602","76416"
1497,"1010800","71262"
1490,"1010900","71641"
1009,"1011000","68417"
1398,"1011100","41940"
1501,"1011201","78354"
1477,"1011202","188697"
1498,"1011203","77329"
15,"1011300","47813"
823,"1011401","108107"
16,"1011402","85908"
935,"1011500","44519"
2101,"1011600","49146"
1908,"1011700","16607"
1789,"1011800","85223"
669,"1011900","12173"
718,"1012000","115430"
